PPI Score,National Poverty Line,Food Poverty Line,150% National,200% National,$1.00/day 2011,$1.90/day 2011,$3.20/day 2011,$5.50/day 2011,$8.00/day 2011
0,0.879773017,0.609455098,0.963920384,0.985440445,0.608092754,0.887160222,0.976297372,0.995310362,0.998820561
1,0.873661058,0.591342276,0.961985083,0.984643017,0.583310302,0.879961202,0.974658713,0.994978294,0.998733073
2,0.867285256,0.572977997,0.959950286,0.983802631,0.558099551,0.87236897,0.972909909,0.994622841,0.998639105
3,0.86063902,0.554410311,0.957811351,0.982917055,0.53258574,0.864370556,0.971044006,0.994242372,0.998538177
4,0.853716085,0.535689508,0.955563469,0.981983947,0.506900365,0.855953662,0.969053672,0.99383515,0.998429776
5,0.846510578,0.516867584,0.953201669,0.981000856,0.481178512,0.847106824,0.966931188,0.993399317,0.99831335
6,0.839017076,0.497997678,0.950720813,0.979965215,0.455556035,0.837819593,0.964668439,0.992932891,0.998188307
7,0.831230672,0.479133475,0.9481156,0.978874337,0.4301667,0.828082715,0.962256904,0.992433758,0.998054011
8,0.823147041,0.460328593,0.945380573,0.977725411,0.405139419,0.817888326,0.95968765,0.991899659,0.997909782
9,0.814762506,0.441635977,0.942510113,0.976515499,0.380595698,0.807230152,0.956951325,0.991328188,0.997754887
10,0.806074114,0.42310731,0.939498454,0.975241532,0.356647401,0.796103708,0.954038159,0.990716777,0.997588541
11,0.797079695,0.404792448,0.936339683,0.973900303,0.333394916,0.784506498,0.950937962,0.990062691,0.997409903
12,0.78777794,0.386738902,0.93302775,0.972488466,0.310925764,0.772438213,0.947640129,0.989363013,0.997218067
13,0.778168463,0.368991375,0.929556475,0.971002531,0.289313695,0.759900915,0.944133646,0.988614638,0.997012067
14,0.768251871,0.351591356,0.925919565,0.969438861,0.268618248,0.746899215,0.940407105,0.987814259,0.996790861
15,0.758029818,0.334576792,0.922110619,0.967793667,0.248884763,0.733440426,0.936448718,0.986958356,0.996553335
16,0.747505073,0.317981822,0.918123149,0.966063008,0.230144786,0.7195347,0.932246344,0.986043186,0.996298293
17,0.736681566,0.301836599,0.913950594,0.964242786,0.212416805,0.705195132,0.927787514,0.985064767,0.996024455
18,0.725564432,0.286167172,0.909586339,0.962328742,0.195707257,0.690437833,0.923059468,0.98401887,0.995730446
19,0.714160056,0.270995454,0.90502374,0.960316459,0.180011716,0.67528197,0.918049202,0.982901001,0.995414794
20,0.702476097,0.256339248,0.900256145,0.958201354,0.165316214,0.659749759,0.912743515,0.981706392,0.995075921
21,0.690521508,0.242212333,0.895276919,0.955978683,0.151598602,0.643866418,0.907129074,0.980429984,0.994712137
22,0.678306548,0.228624609,0.89007948,0.953643538,0.138829927,0.627660073,0.901192484,0.979066416,0.99432163
23,0.665842776,0.215582282,0.884657322,0.951190849,0.126975759,0.611161617,0.894920369,0.977610008,0.99390246
24,0.653143039,0.203088093,0.87900406,0.948615381,0.115997435,0.594404516,0.88829946,0.976054753,0.993452552
25,0.640221441,0.191141566,0.873113457,0.945911743,0.105853209,0.577424581,0.881316702,0.974394296,0.992969682
26,0.627093307,0.179739285,0.866979473,0.943074389,0.096499277,0.560259683,0.873959367,0.972621926,0.992451472
