"","pathogens","PosNeg","Sample","Cardno","type"
"1","Total 18S","Positive","CATTLE_SN_055_R3","card_20221014","CATTLE"
"2","Enterovirus","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"3","EAEC","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"4","Ancyclostoma duodenale","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"5","Aeromonas","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"6","Bacterial 16S","Positive","CATTLE_SN_055_R3","card_20221014","CATTLE"
"7","EPEC","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"8","Bacteroides fragilis","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"9","Campylobacter coli/jejuni","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"10","Astrovirus","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"11","Cyclospora cayetanesis","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"12","C hominis","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"13","Cryptosporidium spp.","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"14","C parvum","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"15","Stongyloides stercoralis","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"16","E. histolytica","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"17","ETEC-ST","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"18","Adenovirus 40/41","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"19","Giardia duodenalis","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"20","E. coli/ Shigella","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"21","Ascaris","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"22","ETEC-LT","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"23","Necator americanus","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"24","Norovirus GI","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"25","Norovirus GII","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"26","Rotavirus A","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"27","Shigella flexneri 6","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"28","Crassphage","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"29","EHEC 0157H7","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"30","STEC","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"31","Salmonella typhi","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"32","Clostridium difficile","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"33","Vibrio cholerae","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"34","Trichuris","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"35","Salmonella enterica","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"36","Helicobacter pylori","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"37","EIEC","Negative","CATTLE_SN_055_R3","card_20221014","CATTLE"
"38","Total 18S","Positive","CATTLE_SN_048_R3","card_20221014","CATTLE"
"39","Enterovirus","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
"40","EAEC","Negative","CATTLE_SN_048_R3","card_20221014","CATTLE"
