"","pathogens","Quant","Sample","type"
"1","Enterovirus",NA,"CATTLE_SN_055_R3","CATTLE"
"2","EAEC",NA,"CATTLE_SN_055_R3","CATTLE"
"3","Ancyclostoma duodenale",NA,"CATTLE_SN_055_R3","CATTLE"
"4","Aeromonas",NA,"CATTLE_SN_055_R3","CATTLE"
"5","EPEC",NA,"CATTLE_SN_055_R3","CATTLE"
"6","Bacteroides fragilis",NA,"CATTLE_SN_055_R3","CATTLE"
"7","Campylobacter coli/jejuni",NA,"CATTLE_SN_055_R3","CATTLE"
"8","Astrovirus",NA,"CATTLE_SN_055_R3","CATTLE"
"9","Cyclospora cayetanesis",NA,"CATTLE_SN_055_R3","CATTLE"
"10","C hominis",NA,"CATTLE_SN_055_R3","CATTLE"
"11","Cryptosporidium spp.",NA,"CATTLE_SN_055_R3","CATTLE"
"12","C parvum",NA,"CATTLE_SN_055_R3","CATTLE"
"13","Stongyloides stercoralis",NA,"CATTLE_SN_055_R3","CATTLE"
"14","E. histolytica",NA,"CATTLE_SN_055_R3","CATTLE"
"15","ETEC-ST",NA,"CATTLE_SN_055_R3","CATTLE"
"16","Adenovirus 40/41",NA,"CATTLE_SN_055_R3","CATTLE"
"17","Giardia duodenalis",NA,"CATTLE_SN_055_R3","CATTLE"
"18","E. coli/ Shigella",NA,"CATTLE_SN_055_R3","CATTLE"
"19","Ascaris",NA,"CATTLE_SN_055_R3","CATTLE"
"20","ETEC-LT",NA,"CATTLE_SN_055_R3","CATTLE"
"21","Necator americanus",NA,"CATTLE_SN_055_R3","CATTLE"
"22","Norovirus GI",NA,"CATTLE_SN_055_R3","CATTLE"
"23","Norovirus GII",NA,"CATTLE_SN_055_R3","CATTLE"
"24","Rotavirus A",NA,"CATTLE_SN_055_R3","CATTLE"
"25","Shigella flexneri 6",NA,"CATTLE_SN_055_R3","CATTLE"
"26","EHEC 0157H7",NA,"CATTLE_SN_055_R3","CATTLE"
"27","STEC",NA,"CATTLE_SN_055_R3","CATTLE"
"28","Salmonella typhi",NA,"CATTLE_SN_055_R3","CATTLE"
"29","Clostridium difficile",NA,"CATTLE_SN_055_R3","CATTLE"
"30","Vibrio cholerae",NA,"CATTLE_SN_055_R3","CATTLE"
"31","Trichuris",NA,"CATTLE_SN_055_R3","CATTLE"
"32","Salmonella enterica",NA,"CATTLE_SN_055_R3","CATTLE"
"33","Total E. coli",790.968133510149,"CATTLE_SN_055_R3","CATTLE"
"34","Helicobacter pylori",NA,"CATTLE_SN_055_R3","CATTLE"
"35","EIEC",NA,"CATTLE_SN_055_R3","CATTLE"
"36","Enterovirus",NA,"CATTLE_SN_048_R3","CATTLE"
"37","EAEC",NA,"CATTLE_SN_048_R3","CATTLE"
"38","Ancyclostoma duodenale",NA,"CATTLE_SN_048_R3","CATTLE"
"39","Aeromonas",NA,"CATTLE_SN_048_R3","CATTLE"
"40","EPEC",NA,"CATTLE_SN_048_R3","CATTLE"
"41","Bacteroides fragilis",NA,"CATTLE_SN_048_R3","CATTLE"
"42","Campylobacter coli/jejuni",NA,"CATTLE_SN_048_R3","CATTLE"
"43","Astrovirus",NA,"CATTLE_SN_048_R3","CATTLE"
"44","Cyclospora cayetanesis",NA,"CATTLE_SN_048_R3","CATTLE"
"45","C hominis",NA,"CATTLE_SN_048_R3","CATTLE"
"46","Cryptosporidium spp.",NA,"CATTLE_SN_048_R3","CATTLE"
"47","C parvum",NA,"CATTLE_SN_048_R3","CATTLE"
"48","Stongyloides stercoralis",NA,"CATTLE_SN_048_R3","CATTLE"
"49","E. histolytica",NA,"CATTLE_SN_048_R3","CATTLE"
"50","ETEC-ST",NA,"CATTLE_SN_048_R3","CATTLE"
"51","Adenovirus 40/41",NA,"CATTLE_SN_048_R3","CATTLE"
"52","Giardia duodenalis",NA,"CATTLE_SN_048_R3","CATTLE"
"53","E. coli/ Shigella",NA,"CATTLE_SN_048_R3","CATTLE"
"54","Ascaris",NA,"CATTLE_SN_048_R3","CATTLE"
"55","ETEC-LT",NA,"CATTLE_SN_048_R3","CATTLE"
"56","Necator americanus",NA,"CATTLE_SN_048_R3","CATTLE"
"57","Norovirus GI",NA,"CATTLE_SN_048_R3","CATTLE"
"58","Norovirus GII",NA,"CATTLE_SN_048_R3","CATTLE"
"59","Rotavirus A",NA,"CATTLE_SN_048_R3","CATTLE"
"60","Shigella flexneri 6",NA,"CATTLE_SN_048_R3","CATTLE"
"61","EHEC 0157H7",NA,"CATTLE_SN_048_R3","CATTLE"
"62","STEC",NA,"CATTLE_SN_048_R3","CATTLE"
"63","Salmonella typhi",NA,"CATTLE_SN_048_R3","CATTLE"
"64","Clostridium difficile",NA,"CATTLE_SN_048_R3","CATTLE"
"65","Vibrio cholerae",NA,"CATTLE_SN_048_R3","CATTLE"
"66","Trichuris",NA,"CATTLE_SN_048_R3","CATTLE"
"67","Salmonella enterica",NA,"CATTLE_SN_048_R3","CATTLE"
"68","Total E. coli",3091.16738236472,"CATTLE_SN_048_R3","CATTLE"
"69","Helicobacter pylori",NA,"CATTLE_SN_048_R3","CATTLE"
"70","EIEC",NA,"CATTLE_SN_048_R3","CATTLE"
"71","Enterovirus",NA,"CATTLE_SN_048_R2","CATTLE"
"72","EAEC",NA,"CATTLE_SN_048_R2","CATTLE"
"73","Ancyclostoma duodenale",NA,"CATTLE_SN_048_R2","CATTLE"
"74","Aeromonas",NA,"CATTLE_SN_048_R2","CATTLE"
"75","EPEC",NA,"CATTLE_SN_048_R2","CATTLE"
"76","Bacteroides fragilis",NA,"CATTLE_SN_048_R2","CATTLE"
"77","Campylobacter coli/jejuni",NA,"CATTLE_SN_048_R2","CATTLE"
"78","Astrovirus",NA,"CATTLE_SN_048_R2","CATTLE"
"79","Cyclospora cayetanesis",NA,"CATTLE_SN_048_R2","CATTLE"
"80","C hominis",NA,"CATTLE_SN_048_R2","CATTLE"
